"","TCGA-A6-2672","TCGA-A6-3809","TCGA-A6-5661","TCGA-A6-5665","TCGA-A6-6653","TCGA-A6-6780","TCGA-AA-3492","TCGA-AA-3502","TCGA-AA-3655","TCGA-AA-3663","TCGA-AA-3664","TCGA-AA-3672","TCGA-AA-3680","TCGA-AA-3713","TCGA-AA-3715","TCGA-AA-3811","TCGA-AA-3818","TCGA-AA-3821","TCGA-AA-3845","TCGA-AA-3851","TCGA-AA-3854","TCGA-AA-3864","TCGA-AA-3877","TCGA-AA-3930","TCGA-AA-3939","TCGA-AA-3949","TCGA-AA-3950","TCGA-AA-3966","TCGA-AA-3977","TCGA-AA-A01P","TCGA-AA-A01R","TCGA-AA-A01V","TCGA-AA-A022","TCGA-AA-A024","TCGA-AA-A02O","TCGA-AA-A02R","TCGA-AA-A03F","TCGA-AD-5900","TCGA-AD-6889","TCGA-AD-6895","TCGA-AM-5821","TCGA-AU-6004","TCGA-AY-6197","TCGA-AY-6386","TCGA-AY-A54L","TCGA-AZ-4313","TCGA-AZ-4615","TCGA-AZ-4616","TCGA-AZ-5407","TCGA-AZ-6598","TCGA-AZ-6599","TCGA-AZ-6601","TCGA-AZ-6606","TCGA-CA-5255","TCGA-CA-5796","TCGA-CA-6718","TCGA-CK-4950","TCGA-CK-4951","TCGA-CK-4952","TCGA-CK-5913","TCGA-CK-5916","TCGA-CK-6746","TCGA-CK-6747","TCGA-CK-6751","TCGA-CM-4743","TCGA-CM-4746","TCGA-CM-5861","TCGA-CM-6171","TCGA-CM-6674","TCGA-CM-6675","TCGA-CM-6680","TCGA-D5-6530","TCGA-D5-6539","TCGA-D5-6540","TCGA-D5-6920","TCGA-D5-6927","TCGA-D5-6928","TCGA-D5-6930","TCGA-D5-6931","TCGA-DM-A1D4","TCGA-DM-A1D6","TCGA-DM-A1D9","TCGA-DM-A1DA","TCGA-DM-A1HA","TCGA-DM-A1HB","TCGA-DM-A280","TCGA-DM-A288","TCGA-DM-A28G","TCGA-DM-A28M","TCGA-F4-6570","TCGA-F4-6806","TCGA-F4-6856","TCGA-G4-6299","TCGA-G4-6304","TCGA-G4-6309","TCGA-G4-6320","TCGA-G4-6322","TCGA-G4-6323","TCGA-G4-6586","TCGA-G4-6588","TCGA-G4-6628","TCGA-QG-A5YX","TCGA-QG-A5Z2","TCGA-AF-6672","TCGA-AG-3591","TCGA-AG-3725","TCGA-AG-3732","TCGA-AG-3892","TCGA-AG-A002","TCGA-AG-A008","TCGA-AG-A015","TCGA-AG-A020","TCGA-AG-A02N","TCGA-AG-A02X","TCGA-AH-6544","TCGA-EI-6507","TCGA-EI-6510","TCGA-EI-6512","TCGA-EI-6882","TCGA-EI-6917","TCGA-F5-6814"
"20p12.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149071198499986,0.149071198499986,0,0.149071198499986,0.149071198499986,0,0,0,0,0.149071198499986,0,0,0.149071198499986,0,0,0,0,0,0,0.149071198499986,0,0,0.149071198499986,0,0.149071198499986,0,0,0,0,0.149071198499986,0,0,0.149071198499986,0,0.149071198499986,0,0,0.298142396999972,0.149071198499986,0,0,0.149071198499986,0,0,0,0,0,0,0,0,0,0,0.149071198499986,0,0,0,0,0.149071198499986,0,0.149071198499986,0,0.149071198499986,0,0,0.149071198499986,0.149071198499986,0,0.149071198499986,0.149071198499986,0,0,0.149071198499986,0,0.149071198499986,0.149071198499986,0.149071198499986,0,0,0,0,0.149071198499986,0.149071198499986,0.149071198499986,0,0,0,0.149071198499986,0,0.149071198499986,0.149071198499986,0.149071198499986,0,0,0,0.149071198499986,0.149071198499986,0.149071198499986,0,0.149071198499986,0.149071198499986,0,0.149071198499986,0.149071198499986,0,0,0.149071198499986
"20p12.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150755672288882,0.150755672288882,0,0.150755672288882,0.150755672288882,0,0,0,0,0.150755672288882,0,0,0.150755672288882,0,0,0,0,0,0,0.150755672288882,0,0,0.150755672288882,0,0.150755672288882,0,0,0,0,0.150755672288882,0,0,0.150755672288882,0,0.150755672288882,0,0,0.301511344577764,0.150755672288882,0,0,0.150755672288882,0,0,0,0,0,0,0,0,0,0,0.150755672288882,0,0,0,0,0.150755672288882,0,0.150755672288882,0,0.150755672288882,0,0,0.150755672288882,0.150755672288882,0,0.150755672288882,0.150755672288882,0,0,0.150755672288882,0,0.150755672288882,0.150755672288882,0.150755672288882,0,0,0,0,0.150755672288882,0.150755672288882,0.150755672288882,0,0,0,0.150755672288882,0,0.150755672288882,0.150755672288882,0.150755672288882,0,0,0,0.150755672288882,0.150755672288882,0,0,0.150755672288882,0.150755672288882,0,0.150755672288882,0.150755672288882,0,0,0.150755672288882
"20p11.23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150755672288882,0.150755672288882,0,0.150755672288882,0.150755672288882,0,0,0,0,0.150755672288882,0,0,0.150755672288882,0,0,0,0,0,0,0.150755672288882,0,0,0.150755672288882,0,0.150755672288882,0,0,0,0,0.150755672288882,0,0,0.150755672288882,0,0.150755672288882,0,0,0.150755672288882,0.150755672288882,0,0,0.150755672288882,0,0,0,0,0,0,0,0,0,0,0.150755672288882,0,0,0,0,0.150755672288882,0,0.150755672288882,0,0.150755672288882,0,0,0.150755672288882,0.150755672288882,0,0.150755672288882,0.301511344577764,0,0,0.150755672288882,0,0.150755672288882,0.150755672288882,0.150755672288882,0,0,0,0,0.150755672288882,0.150755672288882,0.150755672288882,0,0,0,0.150755672288882,0,0.150755672288882,0.150755672288882,0.150755672288882,0,0,0,0.150755672288882,0.150755672288882,0,0,0.150755672288882,0.150755672288882,0,0.150755672288882,0.150755672288882,0,0,0.150755672288882
"20p11.22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145864991497895,0.145864991497895,0,0.145864991497895,0.145864991497895,0,0,0,0,0.145864991497895,0,0,0.145864991497895,0,0,0,0,0,0,0.145864991497895,0,0,0.145864991497895,0,0.145864991497895,0,0,0,0,0.145864991497895,0,0,0.145864991497895,0,0.145864991497895,0,0,0.145864991497895,0.145864991497895,0,0,0.145864991497895,0,0,0,0,0,0,0,0,0,0,0.145864991497895,0,0,0,0,0.145864991497895,0,0.145864991497895,0,0.145864991497895,0,0,0.145864991497895,0.145864991497895,0,0.145864991497895,0.291729982995789,0,0,0.145864991497895,0,0.145864991497895,0.145864991497895,0.145864991497895,0,0,0,0,0.145864991497895,0.145864991497895,0.145864991497895,0,0,0,0.145864991497895,0,0.145864991497895,0.145864991497895,0.145864991497895,0,0,0,0.145864991497895,0.145864991497895,0,0,0.145864991497895,0.145864991497895,0,0.145864991497895,0.291729982995789,0,0,0.145864991497895
"20p11.21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152498570332605,0.152498570332605,0,0.152498570332605,0.152498570332605,0,0,0,0,0.152498570332605,0,0,0.152498570332605,0,0,0,0,0,0,0.152498570332605,0,0,0.152498570332605,0,0.304997140665209,0,0,0,0,0.152498570332605,0,0,0.152498570332605,0,0.152498570332605,0,0,0,0.152498570332605,0,0,0.152498570332605,0,0,0,0,0,0,0,0,0,0,0.152498570332605,0,0,0,0,0.152498570332605,0,0.152498570332605,0,0.152498570332605,0,0,0.152498570332605,0.152498570332605,0,0.152498570332605,0.152498570332605,0,0,0.152498570332605,0,0.152498570332605,0.152498570332605,0.152498570332605,0,0,0,0,0.152498570332605,0.152498570332605,0.152498570332605,0,0,0,0.152498570332605,0,0.152498570332605,0.152498570332605,0.152498570332605,0,0,0,0.152498570332605,0.152498570332605,0,0,0.152498570332605,0.152498570332605,0,0.152498570332605,0.152498570332605,0,0,0.152498570332605
"8p11.22",0,0,0,0,0,0,0,0.134839972492648,0,0.134839972492648,0.134839972492648,0,0,0.134839972492648,0.134839972492648,0.134839972492648,0,0,0,0.134839972492648,0,0,0,0.134839972492648,0.134839972492648,0,0,0,0,0,0,0,0,0,0.134839972492648,0,0,0.134839972492648,0,0,0,0.134839972492648,0.134839972492648,0,0.134839972492648,0,0.134839972492648,0.134839972492648,0.134839972492648,0.134839972492648,0,0,0.269679944985297,0.134839972492648,0,0,0,0,0.269679944985297,0.134839972492648,0,0.134839972492648,0,0,0,0.134839972492648,0.134839972492648,0,0,0.134839972492648,0,0,0.134839972492648,0.134839972492648,0,0,0,0,0,0,0.134839972492648,0.134839972492648,0.134839972492648,0.134839972492648,0,0,0,0.134839972492648,0,0.134839972492648,0,0,0.269679944985297,0.134839972492648,0,0.134839972492648,0,0,0,0,0,0.134839972492648,0,0.134839972492648,0.269679944985297,0,0,0,0,0,0,0.134839972492648,0,0.134839972492648,0.134839972492648,0,0,0,0,0,0
"8p11.21",0,0,0,0,0,0,0,0.134839972492648,0,0.134839972492648,0.134839972492648,0,0,0.134839972492648,0.134839972492648,0.134839972492648,0,0,0,0.134839972492648,0,0,0,0.134839972492648,0.134839972492648,0,0,0,0,0,0,0,0,0,0.134839972492648,0,0,0.134839972492648,0,0,0,0.134839972492648,0.134839972492648,0,0.134839972492648,0,0.134839972492648,0.134839972492648,0.134839972492648,0.134839972492648,0,0,0.269679944985297,0.134839972492648,0,0,0,0,0.269679944985297,0.134839972492648,0,0.134839972492648,0,0,0,0.134839972492648,0.134839972492648,0,0,0.134839972492648,0,0,0.134839972492648,0.134839972492648,0,0,0,0,0,0,0.134839972492648,0.134839972492648,0.134839972492648,0.134839972492648,0,0,0,0.134839972492648,0,0.134839972492648,0,0,0.269679944985297,0.134839972492648,0,0.134839972492648,0,0,0,0,0,0.134839972492648,0,0.134839972492648,0.269679944985297,0,0.134839972492648,0,0,0,0,0.134839972492648,0,0,0.134839972492648,0,0,0,0,0,0
"8p11.23",0,0,0,0,0,0,0,0.133630620956212,0,0.133630620956212,0.133630620956212,0,0,0.133630620956212,0.133630620956212,0.133630620956212,0,0,0,0.133630620956212,0,0,0,0.133630620956212,0.133630620956212,0,0,0,0,0,0,0,0,0,0.133630620956212,0,0,0.133630620956212,0,0,0,0.133630620956212,0.133630620956212,0,0.133630620956212,0,0.133630620956212,0.133630620956212,0.133630620956212,0.133630620956212,0,0,0.267261241912424,0.133630620956212,0,0,0,0,0.267261241912424,0.133630620956212,0,0.133630620956212,0,0,0,0.133630620956212,0.133630620956212,0,0,0.133630620956212,0,0,0.133630620956212,0.133630620956212,0,0,0,0,0,0,0.133630620956212,0.133630620956212,0.133630620956212,0.133630620956212,0,0,0,0.133630620956212,0,0.133630620956212,0,0,0.267261241912424,0.133630620956212,0,0.133630620956212,0,0,0,0,0,0.133630620956212,0,0.133630620956212,0.267261241912424,0,0.133630620956212,0,0,0,0,0.133630620956212,0,0.133630620956212,0.133630620956212,0,0,0,0,0,0
"20p11.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152498570332605,0.152498570332605,0,0.152498570332605,0.152498570332605,0,0,0,0,0.152498570332605,0,0,0.152498570332605,0,0,0,0,0,0,0.152498570332605,0,0,0.152498570332605,0,0.152498570332605,0,0,0,0,0.152498570332605,0,0,0.152498570332605,0,0.152498570332605,0,0,0,0.152498570332605,0,0,0.152498570332605,0,0,0,0,0,0,0,0,0,0,0.152498570332605,0,0,0,0,0.152498570332605,0,0.152498570332605,0,0.152498570332605,0,0,0.152498570332605,0.152498570332605,0,0.152498570332605,0.304997140665209,0,0,0.152498570332605,0,0.152498570332605,0.152498570332605,0.152498570332605,0,0,0,0,0.152498570332605,0.152498570332605,0.152498570332605,0,0,0,0.152498570332605,0,0.152498570332605,0.152498570332605,0.152498570332605,0,0,0,0.152498570332605,0.152498570332605,0,0,0.152498570332605,0.152498570332605,0,0.152498570332605,0.152498570332605,0,0,0.152498570332605
"8p11.1",0,0,0,0,0,0,0,0.136082763487954,0,0.136082763487954,0,0,0,0.136082763487954,0.136082763487954,0.136082763487954,0,0,0,0.136082763487954,0,0,0,0.136082763487954,0.136082763487954,0,0,0,0,0,0,0,0,0,0.136082763487954,0,0,0.136082763487954,0,0,0.136082763487954,0.136082763487954,0.136082763487954,0,0.136082763487954,0,0.136082763487954,0.136082763487954,0.136082763487954,0.136082763487954,0,0,0.136082763487954,0.136082763487954,0,0,0,0,0.272165526975909,0.136082763487954,0,0.136082763487954,0,0,0,0.272165526975909,0.136082763487954,0,0,0.136082763487954,0,0,0,0.136082763487954,0,0,0,0,0,0,0.136082763487954,0.136082763487954,0.136082763487954,0.136082763487954,0,0,0,0,0,0.136082763487954,0,0,0.136082763487954,0.136082763487954,0,0.136082763487954,0,0,0,0,0,0.136082763487954,0,0.136082763487954,0.272165526975909,0,0.136082763487954,0,0,0,0,0,0.272165526975909,0.136082763487954,0.136082763487954,0,0,0,0,0,0
"8q11.1",0,0,0,0,0,0,0,0.136082763487954,0,0.136082763487954,0,0,0,0.136082763487954,0.136082763487954,0.136082763487954,0,0,0,0.136082763487954,0,0,0,0.136082763487954,0.136082763487954,0,0,0,0,0,0,0,0,0,0.136082763487954,0,0,0.136082763487954,0,0,0.136082763487954,0.136082763487954,0.136082763487954,0,0.136082763487954,0,0.136082763487954,0.136082763487954,0.136082763487954,0.136082763487954,0,0,0.136082763487954,0.136082763487954,0,0,0,0,0.272165526975909,0.136082763487954,0,0.136082763487954,0,0,0,0.272165526975909,0.136082763487954,0,0,0.136082763487954,0,0,0,0.136082763487954,0,0,0,0,0,0,0.136082763487954,0.136082763487954,0.136082763487954,0.136082763487954,0,0,0,0,0,0.136082763487954,0,0,0.136082763487954,0.136082763487954,0,0.136082763487954,0,0,0,0,0,0.136082763487954,0,0.136082763487954,0.272165526975909,0,0.136082763487954,0,0,0,0,0,0.272165526975909,0.136082763487954,0.136082763487954,0,0,0,0,0,0
